Course Number,Units
CS 1500,3
MATH 1410,4
MATH 1420,4
MATH 1620,4
MATH 2410,4
MATH 2460,2
MATH 2530,3
MATH 3230,3
MATH 3400,3
MATH 4130,3
MATH 4330,3
MATH 4430,3
MATH 4530,3
MATH 4600,3
MATH 4630,3
MATH 3060,3
MATH 3110,3
MATH 3600,3
MATH 4020,3
MATH 4140,3
MATH 4540,3
MATH 4960,3

Course Code, Units
MATH 1410, 4
MATH 1420, 4
MATH 1620, 3-4
MATH 3230, 3
MATH 3400, 3
MATH 4130, 3
MATH 4330, 3
MATH 4430, 3
MATH 4530, 3
MATH 4600, 3
MATH 4630, 3
MATH 4960, 3
MATH 3230, 3
MATH 4330, 3
MATH 4430, 3
MATH 4600, 3
